person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,52,50,13,734,Trigonometric,FullFace,3 
Default Name,14.0,48,16,45,734,Linear,FullFace,25 
Default Name,14.0,73,69,24,733,Trigonometric,FullFace,-12 
Default Name,14.0,72,59,40,733,Linear,FullFace,16 
Default Name,14.0,8,3,7,721,Trigonometric,FullFace,14 
Default Name,14.0,25,16,19,721,Linear,FullFace,6 
Default Name,14.0,65,31,57,729,Trigonometric,FullFace,-16 
Default Name,14.0,40,24,32,729,Linear,FullFace,24 
Default Name,14.0,67,46,48,737,Trigonometric,FullFace,21 
Default Name,14.0,50,29,41,737,Linear,FullFace,5 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,52,29,43,626,Trigonometric,FullFace,-5 
Default Name,14.0,86,78,35,626,Linear,FullFace,-6 
Default Name,14.0,32,31,4,601,Trigonometric,FullFace,-11 
Default Name,14.0,31,31,3,601,Linear,FullFace,6 
Default Name,14.0,50,11,48,589,Trigonometric,FullFace,39 
Default Name,14.0,44,3,44,589,Linear,FullFace,70 
Default Name,14.0,87,85,16,585,Trigonometric,FullFace,-68 
Default Name,14.0,147,145,22,585,Linear,FullFace,-109 
Default Name,14.0,18,18,0,582,Trigonometric,FullFace,14 
Default Name,14.0,40,39,9,582,Linear,FullFace,13 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,36,24,26,551,Trigonometric,FullFace,39 
Default Name,14.0,23,12,20,551,Linear,FullFace,20 
Default Name,14.0,42,32,27,558,Trigonometric,FullFace,23 
Default Name,14.0,71,70,7,558,Linear,FullFace,-13 
Default Name,14.0,56,56,4,554,Trigonometric,FullFace,-36 
Default Name,14.0,75,75,4,554,Linear,FullFace,-6 
Default Name,14.0,21,16,14,555,Trigonometric,FullFace,46 
Default Name,14.0,50,50,3,555,Linear,FullFace,-21 
Default Name,14.0,13,4,12,549,Trigonometric,FullFace,24 
Default Name,14.0,22,15,15,549,Linear,FullFace,-8 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,21,21,0,535,Trigonometric,HeadPose,6 
Default Name,14.0,69,56,41,535,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,225,196,110,566,Trigonometric,HeadPose,0 
Default Name,14.0,298,49,294,566,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,246,192,153,548,Trigonometric,HeadPose,0 
Default Name,14.0,94,21,92,548,Linear,HeadPose,13 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,86,4,86,535,Trigonometric,HeadPose,0 
Default Name,14.0,17,13,11,535,Linear,HeadPose,11 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,62,48,39,554,Trigonometric,HeadPose,0 
Default Name,14.0,234,38,231,554,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,106,13,105,534,Trigonometric,HeadPose,19 
Default Name,14.0,10514,10503,479,534,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,393,385,79,538,Trigonometric,HeadPose,0 
Default Name,14.0,246,241,48,538,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,14.0,274,273,25,541,Trigonometric,HeadPose,0 
Default Name,14.0,613,120,601,541,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,33,31,11,1.0,Trigonometric,FullFace,0 
Default Name,13.3,1754,1753,55,1.0,Linear,FullFace,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,17,0,17,[451.],Trigonometric,FullFace,16 
Default Name,13.3,16,6,14,[451.],Linear,FullFace,7 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,41,20,35,[474.],Trigonometric,FullFace,-26 
Default Name,13.3,32,14,29,[474.],Linear,FullFace,-23 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,17,17,1,[465.],Trigonometric,FullFace,31 
Default Name,13.3,3,1,3,[465.],Linear,FullFace,7 
Default Name,13.3,27,14,23,[456.],Trigonometric,FullFace,0 
Default Name,13.3,17,3,17,[456.],Linear,FullFace,4 
Default Name,13.3,26,1,26,[445.],Trigonometric,FullFace,-19 
Default Name,13.3,28,17,22,[445.],Linear,FullFace,-16 
Default Name,13.3,36,6,35,[451.],Trigonometric,FullFace,-20 
Default Name,13.3,32,3,32,[451.],Linear,FullFace,2 
Default Name,13.3,32,26,17,[448.],Trigonometric,FullFace,23 
Default Name,13.3,26,14,22,[448.],Linear,FullFace,10 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,25,20,16,[459.],Trigonometric,FullFace,-2 
Default Name,13.3,18,9,16,[459.],Linear,FullFace,-5 
Default Name,13.3,21,4,21,[462.],Trigonometric,FullFace,24 
Default Name,13.3,16,15,4,[462.],Linear,FullFace,-12 
Default Name,13.3,32,30,9,[448.],Trigonometric,FullFace,-24 
Default Name,13.3,13,10,7,[448.],Linear,FullFace,18 
Default Name,13.3,32,32,3,[469.],Trigonometric,FullFace,-25 
Default Name,13.3,22,19,11,[469.],Linear,FullFace,5 
Default Name,13.3,11,10,2,[458.],Trigonometric,FullFace,21 
Default Name,13.3,26,25,1,[458.],Linear,FullFace,-10 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,43,43,0,[462.],Trigonometric,FullFace,-5 
Default Name,13.3,18,18,5,[462.],Linear,FullFace,-2 
Default Name,13.3,53,53,4,[462.],Trigonometric,FullFace,-35 
Default Name,13.3,3,3,1,[462.],Linear,FullFace,16 
Default Name,13.3,53,52,7,[463.],Trigonometric,FullFace,-38 
Default Name,13.3,22,19,9,[463.],Linear,FullFace,-3 
Default Name,13.3,42,40,10,[462.],Trigonometric,FullFace,-10 
Default Name,13.3,19,19,2,[462.],Linear,FullFace,5 
Default Name,13.3,36,35,6,[460.],Trigonometric,FullFace,8 
Default Name,13.3,16,15,5,[460.],Linear,FullFace,-2 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,56,41,38,[495.],Trigonometric,FullFace,-3 
Default Name,13.3,56,45,32,[495.],Linear,FullFace,-29 
Default Name,13.3,95,82,48,[493.],Trigonometric,FullFace,-55 
Default Name,13.3,42,26,32,[493.],Linear,FullFace,-23 
Default Name,13.3,74,59,45,[498.],Trigonometric,FullFace,-25 
Default Name,13.3,44,17,40,[498.],Linear,FullFace,-39 
Default Name,13.3,82,76,31,[501.],Trigonometric,FullFace,-53 
Default Name,13.3,65,4,65,[501.],Linear,FullFace,4 
Default Name,13.3,64,54,35,[504.],Trigonometric,FullFace,78 
Default Name,13.3,140,122,68,[504.],Linear,FullFace,-2 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,51,41,30,[521.],Trigonometric,FullFace,10 
Default Name,13.3,48,42,23,[521.],Linear,FullFace,-26 
Default Name,13.3,55,22,50,[522.],Trigonometric,FullFace,12 
Default Name,13.3,42,17,38,[522.],Linear,FullFace,17 
Default Name,13.3,19,19,1,[501.],Trigonometric,FullFace,23 
Default Name,13.3,34,28,20,[501.],Linear,FullFace,-8 
Default Name,13.3,56,15,53,[521.],Trigonometric,FullFace,18 
Default Name,13.3,19,15,10,[521.],Linear,FullFace,1 
Default Name,13.3,80,53,60,[519.],Trigonometric,FullFace,16 
Default Name,13.3,53,53,2,[519.],Linear,FullFace,-10 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,40,24,32,[497.],Trigonometric,FullFace,29 
Default Name,13.3,13,11,6,[497.],Linear,FullFace,27 
Default Name,13.3,85,78,34,[558.],Trigonometric,FullFace,-75 
Default Name,13.3,74,61,41,[558.],Linear,FullFace,-37 
Default Name,13.3,19,19,2,[511.],Trigonometric,FullFace,8 
Default Name,13.3,5,0,5,[511.],Linear,FullFace,27 
Default Name,13.3,31,23,21,[480.],Trigonometric,FullFace,35 
Default Name,13.3,22,11,19,[480.],Linear,FullFace,21 
Default Name,13.3,58,58,1,[553.],Trigonometric,FullFace,-22 
Default Name,13.3,46,42,18,[553.],Linear,FullFace,-42 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,6,6,1,[454.],Trigonometric,FullFace,0 
Default Name,13.3,13,8,10,[454.],Linear,FullFace,1 
Default Name,13.3,104,68,79,[455.],Trigonometric,FullFace,-8 
Default Name,13.3,102,66,77,[455.],Linear,FullFace,11 
Default Name,13.3,27,26,4,[457.],Trigonometric,FullFace,-7 
Default Name,13.3,9,5,7,[457.],Linear,FullFace,-1 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,82,29,76,[530.],Trigonometric,FullFace,8 
Default Name,13.3,70,16,68,[530.],Linear,FullFace,-34 
Default Name,13.3,5,5,2,[482.],Trigonometric,FullFace,6 
Default Name,13.3,38,16,35,[482.],Linear,FullFace,-18 
Default Name,13.3,36,35,9,[484.],Trigonometric,FullFace,-6 
Default Name,13.3,10,10,2,[484.],Linear,FullFace,16 
Default Name,13.3,42,21,36,[542.],Trigonometric,FullFace,17 
Default Name,13.3,30,8,29,[542.],Linear,FullFace,-14 
Default Name,13.3,45,43,15,[484.],Trigonometric,FullFace,-10 
Default Name,13.3,39,39,0,[484.],Linear,FullFace,-9 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,30,18,24,[500.],Trigonometric,FullFace,-20 
Default Name,13.3,22,22,3,[500.],Linear,FullFace,2 
Default Name,13.3,16,10,12,[518.],Trigonometric,FullFace,13 
Default Name,13.3,17,15,7,[518.],Linear,FullFace,22 
Default Name,13.3,11,10,3,[512.],Trigonometric,FullFace,2 
Default Name,13.3,32,26,18,[512.],Linear,FullFace,-31 
Default Name,13.3,72,55,45,[538.],Trigonometric,FullFace,10 
Default Name,13.3,131,78,104,[538.],Linear,FullFace,-28 
Default Name,13.3,20,5,19,[535.],Trigonometric,FullFace,-10 
Default Name,13.3,37,27,25,[535.],Linear,FullFace,-17 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,59,14,57,[484.],Trigonometric,FullFace,-9 
Default Name,13.3,64,22,60,[484.],Linear,FullFace,66 
Default Name,13.3,15,11,9,[475.],Trigonometric,FullFace,14 
Default Name,13.3,68,54,42,[475.],Linear,FullFace,16 
Default Name,13.3,57,54,20,[473.],Trigonometric,FullFace,-35 
Default Name,13.3,103,96,37,[473.],Linear,FullFace,2 
Default Name,13.3,70,32,62,[476.],Trigonometric,FullFace,-42 
Default Name,13.3,70,55,43,[476.],Linear,FullFace,-3 
Default Name,13.3,31,26,17,[521.],Trigonometric,FullFace,-15 
Default Name,13.3,119,69,97,[521.],Linear,FullFace,19 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,36,35,8,[537.],Trigonometric,FullFace,-33 
Default Name,13.3,26,26,0,[537.],Linear,FullFace,-2 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,184,144,114,[495.],Trigonometric,HeadPose,0 
Default Name,13.3,218,118,183,[495.],Linear,HeadPose,0 
Default Name,13.3,183,145,111,[526.],Trigonometric,HeadPose,0 
Default Name,13.3,336,88,324,[526.],Linear,HeadPose,0 
Default Name,13.3,89,21,86,[496.],Trigonometric,HeadPose,0 
Default Name,13.3,347,65,341,[496.],Linear,HeadPose,0 
Default Name,13.3,68,42,54,[528.],Trigonometric,HeadPose,0 
Default Name,13.3,429,62,425,[528.],Linear,HeadPose,0 
Default Name,13.3,134,0,134,[534.],Trigonometric,HeadPose,0 
Default Name,13.3,310,15,310,[534.],Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,168,103,133,[479.],Trigonometric,HeadPose,0 
Default Name,13.3,166,113,122,[479.],Linear,HeadPose,-36 
Default Name,13.3,142,78,119,[477.],Trigonometric,HeadPose,0 
Default Name,13.3,200,74,185,[477.],Linear,HeadPose,-13 
Default Name,13.3,223,43,219,[481.],Trigonometric,HeadPose,0 
Default Name,13.3,120,64,101,[481.],Linear,HeadPose,-16 
Default Name,13.3,191,116,151,[476.],Trigonometric,HeadPose,0 
Default Name,13.3,215,134,168,[476.],Linear,HeadPose,-34 
Default Name,13.3,123,73,99,[475.],Trigonometric,HeadPose,0 
Default Name,13.3,256,47,252,[475.],Linear,HeadPose,31 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,113,23,110,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,144,5,143,1.0,Linear,HeadPose,0 
Default Name,13.3,79,68,40,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,113,43,105,1.0,Linear,HeadPose,0 
Default Name,13.3,153,62,139,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,102,82,60,1.0,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,139,19,138,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,86,14,85,1.0,Linear,HeadPose,-7 
Default Name,13.3,160,111,114,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,174,17,173,1.0,Linear,HeadPose,4 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,19,12,14,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,140,21,138,1.0,Linear,HeadPose,2 
Default Name,13.3,7,7,3,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,144,24,142,1.0,Linear,HeadPose,3 
Default Name,13.3,135,59,122,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,46,2,46,1.0,Linear,HeadPose,9 
Default Name,13.3,124,81,94,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,149,129,74,1.0,Linear,HeadPose,1 
Default Name,13.3,90,11,89,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,46,23,39,1.0,Linear,HeadPose,-3 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,87,29,82,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,98,68,70,1.0,Linear,HeadPose,8 
Default Name,13.3,187,83,167,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,32,31,6,1.0,Linear,HeadPose,106 
Default Name,13.3,144,78,120,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,140,131,49,1.0,Linear,HeadPose,-45 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,125,70,103,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,87,31,81,1.0,Linear,HeadPose,39 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,137,137,5,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,125,36,120,1.0,Linear,HeadPose,25 
Default Name,13.3,118,15,117,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,96,94,19,1.0,Linear,HeadPose,-29 
Default Name,13.3,114,17,112,1.0,Trigonometric,HeadPose,0 
